lh.aparc.foldind	lh_bankssts_foldind	lh_caudalanteriorcingulate_foldind	lh_caudalmiddlefrontal_foldind	lh_cuneus_foldind	lh_entorhinal_foldind	lh_fusiform_foldind	lh_inferiorparietal_foldind	lh_inferiortemporal_foldind	lh_isthmuscingulate_foldind	lh_lateraloccipital_foldind	lh_lateralorbitofrontal_foldind	lh_lingual_foldind	lh_medialorbitofrontal_foldind	lh_middletemporal_foldind	lh_parahippocampal_foldind	lh_paracentral_foldind	lh_parsopercularis_foldind	lh_parsorbitalis_foldind	lh_parstriangularis_foldind	lh_pericalcarine_foldind	lh_postcentral_foldind	lh_posteriorcingulate_foldind	lh_precentral_foldind	lh_precuneus_foldind	lh_rostralanteriorcingulate_foldind	lh_rostralmiddlefrontal_foldind	lh_superiorfrontal_foldind	lh_superiorparietal_foldind	lh_superiortemporal_foldind	lh_supramarginal_foldind	lh_frontalpole_foldind	lh_temporalpole_foldind	lh_transversetemporal_foldind	lh_insula_foldind	BrainSegVolNotVent	eTIV
sub-SAN_059	7.0	11.0	20.0	28.0	4.0	38.0	72.0	51.0	15.0	72.0	34.0	33.0	28.0	40.0	6.0	15.0	16.0	14.0	16.0	18.0	56.0	12.0	42.0	57.0	9.0	76.0	88.0	73.0	35.0	50.0	5.0	7.0	5.0	38.0	1056902.0	1314873.407959
sub-SAN_060	13.0	14.0	18.0	31.0	4.0	37.0	59.0	42.0	16.0	85.0	41.0	50.0	37.0	40.0	5.0	21.0	23.0	9.0	17.0	22.0	45.0	19.0	43.0	39.0	19.0	81.0	74.0	60.0	37.0	46.0	5.0	9.0	9.0	31.0	990322.0	931765.486946
sub-SAN_061	7.0	12.0	18.0	32.0	4.0	39.0	53.0	43.0	15.0	101.0	36.0	52.0	31.0	42.0	5.0	15.0	16.0	16.0	20.0	20.0	49.0	28.0	48.0	62.0	13.0	72.0	84.0	70.0	37.0	51.0	6.0	8.0	8.0	24.0	1162167.0	1153366.166089
sub-SAN_065	18.0	13.0	19.0	31.0	3.0	39.0	95.0	47.0	21.0	98.0	34.0	44.0	32.0	50.0	4.0	13.0	27.0	11.0	22.0	16.0	49.0	25.0	50.0	53.0	15.0	90.0	100.0	72.0	61.0	70.0	6.0	7.0	9.0	34.0	1079029.0	973689.4599
sub-SAN_066	9.0	13.0	22.0	37.0	3.0	40.0	63.0	48.0	13.0	100.0	28.0	58.0	37.0	44.0	11.0	14.0	18.0	12.0	21.0	20.0	45.0	17.0	48.0	42.0	20.0	71.0	79.0	63.0	42.0	52.0	5.0	11.0	6.0	25.0	1039967.0	1070348.691192
sub-SAN_067	6.0	10.0	26.0	37.0	4.0	40.0	61.0	59.0	18.0	75.0	32.0	47.0	38.0	50.0	5.0	13.0	13.0	10.0	13.0	35.0	48.0	20.0	53.0	45.0	9.0	69.0	92.0	71.0	45.0	54.0	7.0	8.0	6.0	18.0	1022603.0	952731.443509
sub-SAN_069	6.0	13.0	24.0	29.0	4.0	44.0	66.0	41.0	16.0	73.0	29.0	44.0	47.0	40.0	7.0	11.0	16.0	8.0	11.0	17.0	45.0	17.0	43.0	50.0	13.0	77.0	77.0	65.0	28.0	40.0	5.0	11.0	4.0	30.0	1052089.0	899556.701957
sub-SAN_070	6.0	7.0	21.0	26.0	4.0	44.0	56.0	39.0	16.0	60.0	28.0	38.0	33.0	40.0	5.0	12.0	13.0	10.0	16.0	23.0	34.0	16.0	44.0	53.0	7.0	67.0	71.0	68.0	34.0	61.0	6.0	7.0	5.0	25.0	1007328.0	909085.81822
sub-SAN_071	6.0	10.0	26.0	27.0	3.0	38.0	67.0	45.0	14.0	81.0	26.0	46.0	29.0	40.0	4.0	13.0	17.0	10.0	13.0	24.0	44.0	18.0	47.0	48.0	15.0	70.0	77.0	75.0	35.0	46.0	5.0	7.0	5.0	37.0	984850.0	877787.757757
sub-SAN_073	7.0	9.0	27.0	27.0	4.0	43.0	51.0	51.0	15.0	78.0	33.0	42.0	29.0	42.0	4.0	13.0	11.0	8.0	12.0	23.0	45.0	16.0	49.0	46.0	18.0	76.0	78.0	70.0	39.0	52.0	4.0	6.0	4.0	28.0	892711.0	852164.694215
sub-SAN_074	8.0	13.0	23.0	33.0	6.0	46.0	58.0	52.0	18.0	116.0	41.0	64.0	39.0	42.0	6.0	12.0	27.0	10.0	19.0	46.0	59.0	22.0	53.0	52.0	16.0	99.0	83.0	87.0	56.0	63.0	6.0	9.0	7.0	27.0	1247721.0	1151613.250052
sub-SAN_075	6.0	16.0	34.0	30.0	5.0	51.0	85.0	63.0	18.0	105.0	41.0	44.0	33.0	46.0	4.0	16.0	21.0	13.0	10.0	23.0	45.0	23.0	62.0	63.0	15.0	80.0	91.0	77.0	43.0	78.0	5.0	12.0	8.0	27.0	1358490.0	1225358.188304
sub-SAN_076	7.0	10.0	23.0	24.0	5.0	44.0	54.0	54.0	15.0	89.0	31.0	49.0	37.0	37.0	5.0	10.0	14.0	8.0	11.0	23.0	43.0	15.0	39.0	38.0	15.0	76.0	70.0	70.0	28.0	50.0	5.0	9.0	4.0	18.0	953663.0	890361.866451
sub-SAN_077	8.0	8.0	28.0	26.0	4.0	45.0	65.0	42.0	19.0	92.0	36.0	60.0	29.0	41.0	4.0	13.0	21.0	8.0	19.0	27.0	41.0	24.0	57.0	45.0	13.0	94.0	91.0	66.0	44.0	65.0	5.0	8.0	6.0	27.0	1104770.0	1037025.940244
sub-SAN_078	11.0	10.0	27.0	24.0	4.0	45.0	59.0	49.0	13.0	73.0	34.0	37.0	38.0	40.0	5.0	14.0	21.0	15.0	18.0	23.0	48.0	19.0	53.0	45.0	11.0	72.0	95.0	63.0	33.0	53.0	4.0	7.0	4.0	31.0	980454.0	905300.47702
sub-SAN_079	8.0	19.0	32.0	28.0	5.0	48.0	62.0	59.0	22.0	98.0	38.0	49.0	43.0	46.0	6.0	15.0	21.0	10.0	19.0	16.0	56.0	25.0	58.0	53.0	20.0	94.0	104.0	72.0	44.0	49.0	7.0	10.0	8.0	23.0	1212131.0	1185113.767969
sub-SAN_080	7.0	10.0	23.0	21.0	5.0	36.0	55.0	36.0	9.0	94.0	35.0	45.0	27.0	37.0	9.0	9.0	13.0	9.0	9.0	17.0	42.0	15.0	45.0	39.0	14.0	70.0	69.0	55.0	30.0	42.0	5.0	7.0	4.0	20.0	1018699.0	910643.561692
sub-SAN_081	9.0	18.0	19.0	31.0	3.0	31.0	54.0	50.0	18.0	87.0	38.0	50.0	37.0	43.0	7.0	13.0	22.0	13.0	18.0	30.0	50.0	21.0	46.0	51.0	9.0	71.0	73.0	61.0	50.0	41.0	6.0	7.0	6.0	18.0	989420.0	902402.706521
sub-SAN_082	9.0	15.0	20.0	37.0	2.0	39.0	71.0	44.0	19.0	96.0	36.0	55.0	195.0	45.0	4.0	13.0	15.0	14.0	14.0	30.0	40.0	18.0	46.0	43.0	13.0	90.0	92.0	73.0	45.0	46.0	6.0	10.0	5.0	19.0	1105528.0	992230.569579
sub-SAN_083	7.0	8.0	20.0	23.0	3.0	37.0	44.0	37.0	11.0	69.0	32.0	45.0	41.0	33.0	4.0	9.0	15.0	12.0	21.0	21.0	35.0	13.0	34.0	42.0	10.0	79.0	76.0	61.0	29.0	38.0	6.0	6.0	6.0	14.0	853362.0	748037.616908
sub-SAN_084	8.0	21.0	23.0	35.0	4.0	41.0	62.0	50.0	20.0	102.0	38.0	64.0	43.0	42.0	6.0	20.0	26.0	13.0	16.0	41.0	47.0	17.0	61.0	46.0	22.0	83.0	86.0	71.0	35.0	49.0	4.0	8.0	7.0	24.0	1221353.0	1140963.063233
sub-SAN_085	7.0	10.0	22.0	26.0	3.0	48.0	57.0	46.0	18.0	74.0	35.0	54.0	34.0	41.0	3.0	11.0	17.0	11.0	19.0	34.0	34.0	17.0	46.0	55.0	12.0	80.0	80.0	82.0	44.0	68.0	5.0	7.0	3.0	26.0	1040639.0	984483.093523
