rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
sub-SAN_061	6.0	21.0	20.0	36.0	3.0	37.0	62.0	46.0	18.0	95.0	36.0	58.0	32.0	43.0	7.0	19.0	20.0	12.0	24.0	32.0	42.0	23.0	48.0	58.0	13.0	70.0	85.0	73.0	29.0	47.0	8.0	8.0	5.0	17.0	1162167.0	1153366.166089
sub-SAN_065	7.0	18.0	28.0	28.0	4.0	46.0	84.0	53.0	21.0	79.0	35.0	55.0	39.0	55.0	6.0	15.0	16.0	17.0	19.0	30.0	44.0	23.0	52.0	46.0	15.0	87.0	77.0	75.0	43.0	60.0	9.0	7.0	9.0	24.0	1079029.0	973689.4599
sub-SAN_066	5.0	16.0	21.0	29.0	4.0	41.0	82.0	41.0	15.0	95.0	27.0	53.0	43.0	50.0	5.0	14.0	11.0	15.0	18.0	21.0	39.0	22.0	48.0	44.0	11.0	73.0	77.0	58.0	41.0	46.0	7.0	8.0	4.0	42.0	1039967.0	1070348.691192
sub-SAN_067	7.0	13.0	23.0	35.0	3.0	35.0	80.0	49.0	15.0	84.0	31.0	56.0	30.0	44.0	4.0	16.0	11.0	12.0	13.0	36.0	47.0	23.0	52.0	56.0	6.0	76.0	80.0	73.0	38.0	44.0	11.0	10.0	3.0	15.0	1022603.0	952731.443509
sub-SAN_069	6.0	13.0	24.0	26.0	3.0	46.0	66.0	39.0	16.0	71.0	30.0	46.0	39.0	47.0	6.0	16.0	12.0	9.0	11.0	21.0	39.0	19.0	51.0	42.0	6.0	84.0	69.0	60.0	27.0	47.0	5.0	9.0	2.0	24.0	1052089.0	899556.701957
sub-SAN_070	5.0	9.0	18.0	27.0	3.0	40.0	69.0	41.0	17.0	68.0	35.0	44.0	32.0	37.0	4.0	14.0	14.0	11.0	18.0	23.0	33.0	18.0	50.0	53.0	7.0	76.0	72.0	70.0	31.0	44.0	6.0	8.0	4.0	20.0	1007328.0	909085.81822
sub-SAN_071	5.0	7.0	22.0	26.0	4.0	30.0	75.0	39.0	14.0	77.0	36.0	51.0	30.0	42.0	4.0	15.0	13.0	14.0	20.0	34.0	36.0	18.0	45.0	43.0	3.0	88.0	73.0	73.0	36.0	41.0	5.0	9.0	3.0	17.0	984850.0	877787.757757
sub-SAN_073	6.0	10.0	19.0	32.0	3.0	39.0	65.0	42.0	18.0	80.0	37.0	58.0	46.0	42.0	5.0	13.0	12.0	13.0	14.0	30.0	47.0	16.0	48.0	41.0	6.0	81.0	78.0	72.0	38.0	42.0	9.0	7.0	6.0	15.0	892711.0	852164.694215
sub-SAN_074	6.0	19.0	21.0	40.0	7.0	54.0	81.0	50.0	18.0	108.0	67.0	65.0	38.0	42.0	6.0	16.0	18.0	16.0	20.0	40.0	41.0	18.0	53.0	67.0	10.0	101.0	77.0	87.0	47.0	64.0	8.0	9.0	8.0	19.0	1247721.0	1151613.250052
sub-SAN_075	6.0	11.0	26.0	37.0	7.0	44.0	85.0	62.0	21.0	96.0	39.0	59.0	40.0	55.0	5.0	18.0	17.0	17.0	23.0	27.0	52.0	21.0	59.0	70.0	13.0	83.0	86.0	86.0	39.0	57.0	7.0	10.0	4.0	26.0	1358490.0	1225358.188304
sub-SAN_076	4.0	11.0	22.0	27.0	4.0	39.0	64.0	51.0	15.0	72.0	34.0	53.0	34.0	40.0	4.0	13.0	11.0	11.0	12.0	31.0	41.0	15.0	44.0	41.0	7.0	72.0	80.0	66.0	25.0	39.0	10.0	7.0	2.0	24.0	953663.0	890361.866451
sub-SAN_077	9.0	10.0	21.0	25.0	3.0	43.0	70.0	42.0	14.0	90.0	38.0	73.0	39.0	44.0	5.0	17.0	17.0	15.0	31.0	35.0	42.0	19.0	52.0	53.0	5.0	90.0	98.0	66.0	42.0	65.0	8.0	9.0	4.0	27.0	1104770.0	1037025.940244
sub-SAN_078	7.0	10.0	19.0	27.0	2.0	38.0	71.0	46.0	11.0	79.0	38.0	39.0	34.0	44.0	9.0	19.0	13.0	11.0	18.0	18.0	37.0	16.0	47.0	44.0	7.0	91.0	85.0	65.0	43.0	45.0	7.0	7.0	4.0	20.0	980454.0	905300.47702
